ticker,market_cap,pe,pb,roe,rev_growth,earn_growth,debt_equity
MDT,110658043904,24.07542,2.2581153,0.0939,0.087,-0.118,57.06
META,1747831357440,29.324957,8.018797,0.30238,0.238,0.107,39.164
MET,51446259712,16.577496,1.8018185,0.12020001,0.276,-0.342,225.974
MCD,221323280384,26.033443,-123.6046,,0.097,0.082,
MTD,27247622144,31.850319,-1154.677,,0.081,0.17,
MGM,10554613760,50.776318,4.1022644,0.1489,0.06,1.157,963.089
MCHP,42619830272,,6.496742,-0.010930001,0.156,,82.382
MU,513197932544,21.455446,7.084235,0.39823002,1.963,7.56,14.902
MSFT,3142335070208,26.457449,8.035542,0.34390998,0.167,0.598,31.539
MRNA,21304645632,,2.4469345,-0.28868,-0.298,,15.087
TAP,8395641856,,0.83162373,-0.18172,-0.027,-0.125,61.772
MAA,15332695040,33.93634,2.640606,0.07645,0.01,-0.658,93.305
MDLZ,73477890048,30.291006,2.839641,0.09332,0.093,-0.604,84.848
MNST,75052933120,39.54639,9.091125,0.26815,0.176,0.666,0.8
MCO,81054064640,33.334553,19.941753,0.62078,0.13,0.576,176.813
MPWR,72122417152,113.649376,20.252544,0.19173999,0.208,-0.862,0.683
MSI,73455345664,34.71799,30.387789,1.04197,0.123,0.086,402.39
MS,299819794432,17.087784,2.933491,,0.163,0.319,455.747
NDAQ,50595909632,28.676376,4.1300397,0.15253,0.134,0.476,77.878
NFLX,410858586112,31.491909,15.436231,0.48494998,0.162,0.864,53.788
NTAP,20703248384,17.53859,17.874487,1.12587,0.044,0.16,236.097
MOS,7809492480,14.452941,0.64532226,0.048249997,0.056,,43.154
MSCI,41773666304,36.236458,-15.755855,,0.106,-0.023,
NEM,126737342464,18.260187,3.7444155,0.22343999,0.206,-0.046,16.738
NWS,16439382016,38.909092,1.9001712,0.06329,0.055,-0.099,30.892
NWSA,14987316224,33.77922,1.649648,0.06329,0.055,-0.099,30.892
NEE,191806160896,27.872728,3.5085447,0.083739996,0.207,0.26,146.242
NI,23117938688,24.774359,2.4458282,0.0907,0.198,0.111,139.284
NDSN,15724839936,30.474596,5.0527883,0.17473,0.088,0.442,66.986
NSC,67906093056,23.697493,4.3648596,0.19248,-0.017,-0.114,114.742
NTRS,30099922944,18.210527,2.4565141,0.13492,0.082,0.076,
NOC,94488977408,22.884762,5.6654034,0.26167,0.096,0.152,107.257
NKE,68165230592,30.282894,4.836608,0.16016,0.001,-0.348,79.333
NCLH,9561903104,22.815216,4.3242683,0.23285,0.064,,703.028
NRG,35621859328,41.827927,30.96935,0.41548002,0.137,-0.913,989.054
NUE,44614209536,26.046541,2.1358936,0.09361,0.086,0.342,32.765
NVDA,4901832228864,41.15918,31.161926,1.01485,0.732,0.956,7.255
ORLY,78574616576,31.552189,-103.318634,,0.078,0.139,
NXPI,54589235200,27.173586,5.431984,0.20698999,0.072,-0.068,119.711
NVR,19558889472,16.025547,5.0708776,0.33185002,-0.05,-0.131,28.342
ODFL,45533274112,45.084885,10.534565,0.2393,-0.057,-0.105,3.28
OMC,24414160896,,2.0448105,0.00479,0.279,,86.307
OXY,53343285248,39.844444,1.9115139,0.05929,1.489,,63.804
ON,32707645440,286.2414,4.2919188,0.01498,-0.112,-0.487,42.294
OKE,52613857280,15.407749,2.338757,0.15489,0.295,-0.015,146.453
ORCL,503480614912,31.429083,15.006,0.57572,0.217,0.245,415.265
OTIS,31734560768,23.265715,-5.8866477,,0.033,0.135,
PKG,19037245440,24.87063,4.1125116,0.17198,0.101,-0.565,94.93
PLTR,350117396480,232.36508,47.39074,0.25983,0.7,6.476,3.063
PANW,136965603328,93.25001,12.562683,0.16259001,0.149,0.605,4.887
PSKY,13051839488,391.33334,1.1285206,-0.00863,0.021,,117.11
PCAR,66394173440,27.993347,3.4433382,0.12922,-0.137,-0.359,81.937
PH,124802899968,36.100765,8.72073,0.25781,0.091,-0.09,68.925
PEP,215525572608,24.751963,10.562031,0.43879002,0.085,0.278,244.837
PNR,14867509248,23.175573,3.8425517,0.17478001,0.049,0.016,45.645
PAYX,32948428800,20.30022,8.209249,,0.199,0.091,124.91
PYPL,46778966016,9.391868,2.3077621,0.25732002,0.037,0.394,60.703
PFE,156771090432,20.264706,1.8120849,0.08886,-0.012,,77.957
PNC,90681810944,13.055169,1.6008346,0.12104,0.138,0.178,
PCG,38010322944,14.627119,1.2253301,0.08207,0.026,-0.033,187.043
PM,245920481280,21.734158,-24.57788,,0.068,,
PSX,62701645824,14.492122,2.1560543,0.15427,0.013,2427.284,71.38
PNW,12591508480,20.60198,1.7851444,0.09059,0.03,,201.771
PPL,29349482496,24.54088,1.9693147,0.08157,0.028,0.499,131.147
PFG,20853035008,18.318094,1.7591323,0.10524,-0.037,-0.409,34.915
PG,343336222720,21.799704,6.532254,0.31562,0.015,-0.054,68.719
POOL,8373643264,20.959484,7.024658,0.33058998,-0.005,-0.129,129.513
PPG,25703274496,16.572872,3.231388,0.21077,0.05,,97.592
PLD,135266672640,40.87324,2.5376008,0.06844,0.083,0.652,59.828
PEG,40720982016,19.331755,2.3923755,0.12757,0.183,0.105,142.68
PRU,35374198784,10.175176,1.0903378,0.11359999,0.312,,124.482
